Iteration, Training_error_rate, Test_error_rate
13, 0.3090682843365998, 0.2208063505326927
14, 0.30486856431793435, 0.21774249704059606
15, 0.29771348576761547, 0.2152357078197897
16, 0.2919583138901851, 0.21321634983636237
17, 0.2876030486856432, 0.21112735881902375
18, 0.28449214496811326, 0.2102917624120883
19, 0.28231451236584226, 0.20820277139474966
20, 0.2770259760460414, 0.2074368080217255
21, 0.27375952714263496, 0.2063226794791449
22, 0.2708041686109815, 0.2059048812756772
23, 0.26831544563695753, 0.2052781839704756
24, 0.26629335822056305, 0.2052781839704756
Before_training, 0.6985534297713486, 0.6588677668686025
0, 0.6301135479856899, 0.6015597799596129
1, 0.5173432882252295, 0.5042824315855442
2, 0.39352932026753773, 0.408815542093169
3, 0.31093482656711774, 0.3507415918111552
4, 0.26847099082283404, 0.31815333194067263
5, 0.25151656556229585, 0.30812617505744727
6, 0.23658422771815213, 0.30081470649676206
7, 0.22678488100793281, 0.2956618619873268
8, 0.2225851609892674, 0.29183204512220595
9, 0.21931871208586096, 0.2887681916301093
10, 0.21791880541297245, 0.28633103544321425
11, 0.21449681132368953, 0.2855650720701901
12, 0.21247472390729508, 0.2849383747649885
13, 0.21138590760615958, 0.28486874173107724
14, 0.21169699797791258, 0.28424204442587564
15, 0.2109192720485301, 0.2828493837476499
16, 0.2107637268626536, 0.28257085161200474
17, 0.21014154611914762, 0.28257085161200474
18, 0.21014154611914762, 0.28257085161200474
19, 0.20765282314512365, 0.28208342037462575
20, 0.20765282314512365, 0.2818048882389806
21, 0.20765282314512365, 0.281178190933779
22, 0.20811945870275314, 0.28145672306942415
23, 0.20827500388862966, 0.28187452127289186
24, 0.20843054907450614, 0.28208342037462575
